;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hypothèses de l'investissement;;;;;Tableau d'amortissement;;;;;;;;;;;;;;;;;;;;;;;;;;
Montant ;100 000 €;;;;Année;Mensualité annuelle;Montant dividende brut;Intérêts;ADI;Intérêts + ADI ;Charges;Abattement 30%;Charges déductibles;Bilan foncier;Déficit Reportable;Déficit Cumulé avant utilisation;Reprise sur Réserve;Déficit cumulé apres utilisation;Deficit ou Benéfice imputable sur revenu global;Impact fiscal;Réduction fiscale;Montant dividende net;Mensualité annuelle;Rentabilité locative nette;Effort d'épargne annuel;Effort d'épargne mensuel;Trésorerie Nette Annuelle cumulée;;;;71 377 €
Dividende net distribué;5,70%;5 700,00 €;;;1;7617;5700;4039;207;4246;0;0;3500;-2046;0;0;0;0;-2046;-965;0;6665;7617;6,44%;-952;-79;-952;15/12/2025;-4452;4 758 €;4 758 €
;;;;;2;7617;5757;3901;207;4108;0;0;0;1649;0;0;0;0;1649;778;0;4979;7617;4,81%;-2639;-220;-3591;15/12/2026;-2639;4 758 €;9 517 €
Evolution valeur de la part;1,00%;;;;3;7617;5815;3757;207;3964;0;0;0;1850;0;0;0;0;1850;873;0;4941;7617;4,77%;-2676;-223;-6267;15/12/2027;-2676;4 758 €;14 275 €
Frais d'entrée (dossier bancaire + caution / nantissement);3,50%;3 500,00 €;;;4;7617;5873;3608;207;3815;0;0;0;2058;0;0;0;0;2058;971;0;4901;7617;4,74%;-2716;-226;-8983;15/12/2028;-2716;4 758 €;19 034 €
Apport;3500;;;;5;7617;5931;3452;207;3659;0;0;0;2272;0;0;0;0;2272;1073;0;4859;7617;4,69%;-2758;-230;-11741;15/12/2029;-2758;4 758 €;23 792 €
Montant à financer;100 000 €;;;;6;7617;5991;3290;207;3497;0;0;0;2494;0;0;0;0;2494;1177;0;4814;7617;4,65%;-2804;-234;-14545;15/12/2030;-2804;4 758 €;28 551 €
Charges (Taxe Foncière + assurances + Copropriété);0%;0,00 €;;;7;7617;6051;3121;207;3328;0;0;0;2723;0;0;0;0;2723;1285;0;4765;7617;4,60%;-2852;-238;-17397;15/12/2031;-2852;4 758 €;33 309 €
;;;;;8;7617;6111;2945;207;3152;0;0;0;2959;0;0;0;0;2959;1397;0;4714;7617;4,55%;-2903;-242;-20300;15/12/2032;-2903;4 758 €;38 068 €
Hypothèses du financement;;;;;9;7617;6172;2761;207;2968;0;0;0;3204;0;0;0;0;3204;1512;0;4660;7617;4,50%;-2957;-246;-23257;15/12/2033;-2957;4 758 €;42 826 €
Taux d'intérêt annuel;4,10%;;;;10;7617;6234;2570;207;2777;0;0;0;3457;0;0;0;0;3457;1632;0;4602;7617;4,45%;-3015;-251;-26272;15/12/2034;-3015;4 758 €;47 585 €
Taux d'assurance;0,20%;;;;11;7617;6296;2371;207;2578;0;0;0;3718;0;0;0;0;3718;1755;0;4541;7617;4,39%;-3076;-256;-29348;15/12/2035;-3076;4 758 €;52 343 €
Durée de l'emprunt;20;;;;12;7617;6359;2164;207;2371;0;0;0;3989;0;0;0;0;3989;1883;0;4477;7617;4,33%;-3141;-262;-32488;15/12/2036;-3141;4 758 €;57 102 €
Mensualité SCPI hors assurance avec différé 3 mois;617,53 €;;;;13;7617;6423;1948;207;2155;0;0;0;4268;0;0;0;0;4268;2015;0;4408;7617;4,26%;-3209;-267;-35697;15/12/2037;-3209;4 758 €;61 860 €
Mensualité SCPI avec assurance avec différé 3 mois;634,78 €;;;;14;7617;6487;1723;207;1930;0;0;0;4557;0;0;0;0;4557;2151;0;4336;7617;4,19%;-3281;-273;-38979;15/12/2038;-3281;4 758 €;66 619 €
;;;;;15;7617;6552;1488;207;1695;0;0;0;4857;0;0;0;0;4857;2292;0;4260;7617;4,12%;-3358;-280;-42337;15/12/2039;-3358;4 758 €;71 377 €
Fiscalité;;;;;16;7617;6618;1244;207;1451;0;0;0;5167;0;0;0;0;5167;2439;0;4179;7617;4,04%;-3438;-287;-45775;15/12/2040;71377;4 758 €;76 136 €
TMI (Tranche Marginale d'Imposition);30%;;;;17;7617;6684;989;207;1196;0;0;0;5487;0;0;0;0;5487;2590;0;4094;7617;3,96%;-3524;-294;-49299;15/12/2040;0;4 758 €;80 894 €
% Charges sociales;17,20%;;;;18;7617;6751;724;207;931;0;0;0;5819;0;0;0;0;5819;2747;0;4004;7617;3,87%;-3613;-301;-52912;15/12/2040;0;4 758 €;85 653 €
Total;47,20%;;;;19;7617;6818;448;207;655;0;0;0;6163;0;0;0;0;6163;2909;0;3909;7617;3,78%;-3708;-309;-56620;15/12/2040;0;4 758 €;90 411 €
;;;;;20;7617;6886;160;207;367;0;0;0;6519;0;0;0;0;6519;3077;0;3809;7617;3,68%;-3808;-317;-60428;15/12/2040;0;4 758 €;95 170 €
En synthèse;;;;;21;0;6955;0;0;0;0;0;0;6955;0;0;0;0;6955;3283;0;3672;0;3,55%;3672;306;-56756;15/12/2040;0;4 758 €;99 928 €
;;;;;22;0;7025;0;0;0;0;0;0;7025;0;0;0;0;7025;3316;0;3709;0;3,58%;3709;309;-53047;15/12/2040;0;4 758 €;104 687 €
Mensualité de ;634,78 €;;;;23;0;7095;0;0;0;0;0;0;7095;0;0;0;0;7095;3349;0;3746;0;3,62%;3746;312;-49301;15/12/2040;0;4 758 €;109 445 €
Si revente des SCPI à ;15 ans;;;;24;0;7166;0;0;0;0;0;0;7166;0;0;0;0;7166;3382;0;3784;0;3,66%;3784;315;-45517;15/12/2040;0;4 758 €;114 204 €
Au prix de;104 487 €;;;;25;0;7237;0;0;0;0;0;0;7237;0;0;0;0;7237;3416;0;3821;0;3,69%;3821;318;-41696;15/12/2040;0;4 758 €;118 962 €
Capital restant dû;33 110 €;;;;26;0;7310;0;0;0;0;0;0;7310;0;0;0;0;7310;3450;0;3860;0;3,73%;3860;322;-37836;15/12/2040;0;4 758 €;123 721 €
Solde suite à remboursement du crédit;71 377 €;;;;27;0;7383;0;0;0;0;0;0;7383;0;0;0;0;7383;3485;0;3898;0;3,77%;3898;325;-33938;15/12/2040;0;4 758 €;128 479 €
Total effort d'épargne; 45 837 € ;;;;28;0;7457;0;0;0;0;0;0;7457;0;0;0;0;7457;3520;0;3937;0;3,80%;3937;328;-30001;15/12/2040;0;4 758 €;133 238 €
Bénéfice net de l'opération;25 541 €;;;;29;0;7531;0;0;0;0;0;0;7531;0;0;0;0;7531;3555;0;3977;0;3,84%;3977;331;-26025;15/12/2040;0;4 758 €;137 996 €
Soit un taux de rendement interne (TRI) de;5,36%;;;;30;0;7607;0;0;0;0;0;0;7607;0;0;0;0;7607;3590;0;4016;0;3,88%;4016;335;-22008;15/12/2040;0;4 758 €;142 755 €
